"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ncRNA:oxyS:rna153:-:109:NC_000913.3"	-6.01064613030096	7.02291710350416	85.4917315072377	5.7446500852914e-07	0.0025529224979035
"CDS:b4602:ynhF:stress_response_membrane:cds1647:-:89:NC_000913.3"	-5.43956040506378	7.87198288729666	74.4743953803632	1.22530856944384e-06	0.00272263564130422
"CDS:b1906:yecH:DUF2492_family_protein:cds1898:-:239:NC_000913.3"	-3.88604781163699	7.5099445224378	54.398226343211	6.51504934927625e-06	0.00965095976939455
"CDS:b0001:thrL:thr_operon_leader_peptide:cds0:+:65:NC_000913.3"	-3.37347705850555	7.66076094516587	44.7237478425228	1.76734005853048e-05	0.0106796165046737
"ncRNA:sroH:rna162:-:160:NC_000913.3"	-4.31698053734937	8.93599669675958	42.3795604045237	2.30998911245779e-05	0.0106796165046737
"ncRNA:ryeA:rna54:+:248:NC_000913.3"	-3.55351919201606	8.26314526620954	42.3573692519268	2.31598046631204e-05	0.0106796165046737
"CDS:b1251:yciI:putative_DGPF_domain-containing_enzyme:cds1231:-:296:NC_000913.3"	-3.78822039453617	8.68678092521947	40.7765425586435	2.79315578892208e-05	0.0106796165046737
"CDS:b4128:yjdK:uncharacterized_protein:cds4045:+:296:NC_000913.3"	-3.98643664026488	6.13675952809686	40.3714071812752	2.93321697701432e-05	0.0106796165046737
"ncRNA:sibA:rna67:+:142:NC_000913.3"	-3.41404631037588	7.28075035840764	39.5765618225241	3.23237803422199e-05	0.0106796165046737
"CDS:b0699:ybfA:DUF2517_family_protein:cds687:+:206:NC_000913.3"	-3.82264046461748	8.35020972156544	39.1790259222122	3.39519923288072e-05	0.0106796165046737
"CDS:b1952:dsrB:uncharacterized_protein:cds1939:-:188:NC_000913.3"	-3.55006166284385	7.40104365659134	38.6640954587533	3.62045116233992e-05	0.0106796165046737
"ncRNA:sibD:rna109:-:142:NC_000913.3"	-3.92208871718382	8.53265617872279	38.270274512197	3.80446646414431e-05	0.0106796165046737
"CDS:b3766:ilvL:ilvG_operon_leader_peptide:cds3707:+:98:NC_000913.3"	-3.92859978722513	8.45673369791345	38.0159852452927	3.92904981579503e-05	0.0106796165046737
"CDS:b1461:pptA:4-oxalocrotonate_tautomerase:cds1448:+:233:NC_000913.3"	-4.08023293546306	5.65752329791456	37.7125672585314	4.08394406001779e-05	0.0106796165046737
"CDS:b4686:yshB:uncharacterized_protein:cds3795:-:110:NC_000913.3"	-3.15411614021709	7.03600590330439	37.3158162407547	4.29729551707767e-05	0.0106796165046737
"ncRNA:ryfD:rna87:-:142:NC_000913.3"	-5.16875717821411	12.2626070762759	37.2669466837634	4.32445889803937e-05	0.0106796165046737
"CDS:b4595:yciY:uncharacterized_protein:cds1229:+:173:NC_000913.3"	-3.42861849887022	7.95095547523743	36.6847878883511	4.66385283885348e-05	0.0106796165046737
"CDS:b0836:bssR:repressor_of_biofilm_formation_by_indole_transport_regulation:cds817:+:383:NC_000913.3"	-4.21198629262895	8.89926286641711	36.5372645514021	4.75470155697688e-05	0.0106796165046737
"CDS:b2082:ogrK:positive_regulator_of_P2_growth_28insertion_of_P2_ogr_gene_into_the_chromosome29:cds2068:-:218:NC_000913.3"	-4.8416460710259	5.90274352053242	36.5729947944431	4.79270623030345e-05	0.0106796165046737
