sample_id	Total_reads_sequenced_pre	top_seed
SC1_11	1587372	6597103971274460346
SC1_12	1307394	7386862472818278521
SC1_13	2273730	12716877617435052285
SC1_15	595081	10325298820568433954
SC1_17	1249449	10596756003076376996
SC1_20	4914215	3831213995552687045
SC1_21	1539031	528733477622103608
SC1_23	1476818	12708413529556200236
SC1_24	2814488	8657856827947486933
SC1_30	938977	3821290918431110937
SC1_33	4020638	72537253520858766
SC1_35	4174964	240355753641590888
SC1_37	8543262	7755424849284035009
SC1_39	11616406	11366725980638043916
SC1_44	4413666	16507688965864825162
SC1_49	10806479	7574898218406462836
SC1_5	1491743	4810334079515377771
SC1_50	2985450	493061895501060772
SC1_51	1747209	1991185758969581491
SC1_54	3011316	6764125549114849326
SC1_55	2174477	71698162575291127
SC1_58	3099902	17341644007929035161
SC1_59	1251190	12751789696765441019
SC1_6_	13093394	16946388496207019561
SC1_63	436147	7742695497455285114
SC1_66	3925825	14832944048723697332
SC1_69	1496378	11042791388705712586
SC1_7	3920804	63596454888201062
SC1_71	790539	9007874285045622548
SC1_73	6976880	16273803206694849211
SC1_79	1995689	17234094390244760402
SC1_8	6149284	18182704779440803993
SC1_82	308391	7955854823845330401
SC1_83	2500246	2361409322885954759
SC1_84	3201278	16051379310345671190
SC1_88	1493190	14232480819061502944
SC1_89	617223	12916000539428870902
SC2_10	323020	11883816868923882161
SC2_11	281493	11727421742563578585
SC2_14	684296	18406576565766401758
SC2_15	535325	7778726955320718972
SC2_16	512882	2230382437229002672
SC2_17	751319	2140499702043247407
SC2_23	493648	7833052409962450281
SC2_28	452402	3172395675924411124
SC2_31	797858	1894761437633404121
SC2_33	648636	4413285022036999407
SC2_36	532966	18000541904734981116
SC2_37	295690	6424555984731600951
SC2_40	618964	12029070291049707422
SC2_5	2115452	9785607710477086420
SC2_51	565920	6643670159662971748
SC2_52	321910	16200951505676794559
SC2_53	299509	1503490545508105186
SC2_55	313522	9140519086864281483
SC2_63	374896	6323007072816768996
SC2_64	521571	8719202771556150259
SC2_65	450693	12840895363354266958
SC2_66	680180	1369144709899266539
SC2_7	1150063	7516733046064694841
SC2_71	520092	3629610296210175530
SC2_81	1250385	12213264137914677858
SC2_88	655663	16180540816890812919
SC2_90	237665	3582968305762065378
SC2_91	282128	3687236847584637321
SC2_92	501028	9052010193043012415
SC3_15	2690052	17322569821028308559
SC3_16	3418922	7583694725176218544
SC3_17	1746869	14766550720688222863
SC3_18	1854043	3156499280804235707
SC3_19	8837517	8599576300849921522
SC3_21	2963088	17306868767345741186
SC3_23	6749813	7423255633441974384
SC3_25	2567502	18154199045933385221
SC3_28	762432	2592775591666984279
SC3_30	2378585	8113922234914940588
SC3_32	2498875	16519807639916298997
SC3_34	1540743	12470436458305667529
SC3_36	1527529	17830691862662626970
SC3_37	1174990	7597742187944570283
SC3_38	2424607	4107943174475501103
SC3_4	3903192	13427839460518666402
SC3_40	1182661	9275147017845818890
SC3_41	1910576	906369299619319622
SC3_43	1545614	6796168306645456955
SC3_44	4821734	6640476646189399451
SC3_45	1666629	13623453160266839925
SC3_48	1088360	17039068169406698618
SC3_5	4244738	182595581528460968
SC3_50	1488702	2819849414862717027
SC3_53	2418392	16308255654144990873
SC3_54	2036029	2341048888895024199
SC3_55	1604796	4451394635837577718
SC3_57	1332432	8167834848992134087
SC3_58	1653543	15931827513985840001
SC3_59	815868	15506829802507196421
SC3_6	981095	4815658826289229650
SC3_61	3650678	16489106507848134206
SC3_62	1068845	15801023738646668561
SC3_63	1654731	1741608976536363930
SC3_64	680932	18049396080681345603
SC3_66	1003563	17875760477486079989
SC3_68	1555737	1720294242627592844
SC3_72	1071469	12117401659051413222
SC3_79	2228192	14591009735185091980
SC3_8_	4656756	146208738940684688
SC3_81	677280	9913608703627985729
SC3_82	1482817	4364842635299056630
SC3_84	396390	11164298356090038013
SC3_87	3714461	10741866950647888161
SC3_88	1796101	2626564102410128527
SC3_9	1039105	826360076386951078
SC3_90	1242787	12248470346521734814
SC3_92	2358624	6393680142093944312
SC3_94	2098140	17995689790183977852
		11788339906634390320
		15950334578820872202
		17540623615276043576
		3757793376655319606
		18257226405266541684
		7788716612116648715
		9502753166841977558
		8099717130370077835
		10567289113794415396
		7438985879044646213
		8200405906663644907
		1146384081805239763
		144577071676860293
		7980791856794398698
		1490901633107300576
		14993344158256336951
		11104446533864030586
		6524361996974160200
		11978520776932599929
		1735307914071911715
		9848482870946968057
		9544638263979940995
		15988804676929269910
		17151707529115361027
		16067500356084998908
		18030809797885551596
		12645812232685040393
		9032415049648679707
		11931814417146401966
		3074090917300323179
		12896794744735654077
		14298448828313171851
		6840537091210681602
		6529128135669256872
		2053994836011988768
		5246718482065485255
		12461453221195192899
		4067201723569512744
		13602423379507409791
		14004982785521770802
		10161007850883658826
		8963294217764482618
		7499847420494237349
		14788122700620763660
		2121059498467618174
		15897246474510356600
		2222456430346872497
		14159524903786800211
		8152016805987518550
		7949224653936614672
		15517434177082403278
		18056947122129794059
		14538332418288551868
		10680927516746721565
		14304042701823205526
		13856198352863190264
		658152542491577476
		17073014852320902698
		5283008454112644485
		10716334980080470444
		4305270881229164677
		5920075730013293053
		307404132441236491
		11573276275748448556
		14701698436571482004
		3421208011921211633
		8448631312422867863
		1767960138670866990
		7712444748876062891
		14462568238871482647
		6842574980529999910
		15230916577091235611
		8522080782004993259
		13791984904219892507
		4516171970999380419
		2714353321983766967
		8187897115842085331
		15317285520858801887
		9046463222914876154
		12366155576057999547
		7847362067591080149
		17568429350021587272
		18386360621007399463
		10977843040216038077
		10351768768474968258
		1064463190243545362
		7200448109079225211
		9598738507870553601
		16555712040847751172
		6379881560337440245
		5924768608623366749
		6520964629471720694
		15444393009840211559
		3694719383136253282
		6107349988045343089
		1535848035994938771
		1316698535243947906
		756194688159957332
		7802160488624365028
		2511918234882325876
		10975691514957851467
		10057755020241085223
		9668219638978348212
		16848156657778272828
		6353805276295395933
		15298288516477370081
		4892266773954193075
		9686625528599934428
		3781814876448227445
		6939110423693753861
		8411136381263925208
		3467141617479978009
		16717322103447796432
		12821586546919976605
		2087104353191813878
		5464686097701712849
		15251298493465127339
		10742129477596668113
		12749448639320636626
		11200955588975047157
		1251456160714132541
		6659643254968680756
		1721269803685738382
		12415091545121561970
		10529414675387662587
		2400232639045439533
		13568625553213448579
		17454401838581160959
		14505760329733211042
		10936296133465189635
		16627691052814528786
		3177467217600460058
		14791630820395761475
		12647079280232193186
		13770731897415739188
		3052262202145773726
		3825822836861123807
		17722546323792037584
		11938979025261824979
		4826308881478959611
		1655674637260577848
		1492925123127358868
		1810496697096355583
		3608821894387275388
		15598075894564947791
		7668522611322231258
		14302410364068653318
		18388163490541170531
		1186097168344652883
		17723250660386001614
		14750923841172280182
		10843025121300754275
		16941552413512854397
		16625885842473782620
		18278459427403939416
		4727795326342651250
		12136100095478232972
		5206839021733442513
		5648546043569178791
		3552573140383063541
		10404121220499984591
		10123059093957766125
		9273213922540922206
		8768882728132241222
		6312435845875763009
		2069414377942704057
		9508709594928612462
		5179314595143896365
		13179568273356329760
		7295423535326865313
		14192221051935997722
		3589535053018677523
		7943799506590439234
		5402285926873546155
