sample_id	Total_reads_sequenced_pre


SC1_11	1587372


SC1_12	1307394


SC1_13	2273730


SC1_15	595081


SC1_17	1249449


SC1_20	4914215


SC1_21	1539031


SC1_23	1476818


SC1_24	2814488


SC1_30	938977


SC1_33	4020638


SC1_35	4174964


SC1_37	8543262


SC1_39	11616406


SC1_44	4413666


SC1_49	10806479


SC1_5	1491743


SC1_50	2985450


SC1_51	1747209


SC1_54	3011316


SC1_55	2174477


SC1_58	3099902


SC1_59	1251190


SC1_6_	13093394


SC1_63	436147


SC1_66	3925825


SC1_69	1496378


SC1_7	3920804


SC1_71	790539


SC1_73	6976880


SC1_79	1995689


SC1_8	6149284


SC1_82	308391


SC1_83	2500246


SC1_84	3201278


SC1_88	1493190


SC1_89	617223


SC2_10	323020


SC2_11	281493


SC2_14	684296


SC2_15	535325


SC2_16	512882


SC2_17	751319


SC2_23	493648


SC2_28	452402


SC2_31	797858


SC2_33	648636


SC2_36	532966


SC2_37	295690


SC2_40	618964


SC2_5	2115452


SC2_51	565920


SC2_52	321910


SC2_53	299509


SC2_55	313522


SC2_63	374896


SC2_64	521571


SC2_65	450693


SC2_66	680180


SC2_7	1150063


SC2_71	520092


SC2_81	1250385


SC2_88	655663


SC2_90	237665


SC2_91	282128


SC2_92	501028


SC3_15	2690052


SC3_16	3418922


SC3_17	1746869


SC3_18	1854043


SC3_19	8837517


SC3_21	2963088


SC3_23	6749813


SC3_25	2567502


SC3_28	762432


SC3_30	2378585


SC3_32	2498875


SC3_34	1540743


SC3_36	1527529


SC3_37	1174990


SC3_38	2424607


SC3_4	3903192


SC3_40	1182661


SC3_41	1910576


SC3_43	1545614


SC3_44	4821734


SC3_45	1666629


SC3_48	1088360


SC3_5	4244738


SC3_50	1488702


SC3_53	2418392


SC3_54	2036029


SC3_55	1604796


SC3_57	1332432


SC3_58	1653543


SC3_59	815868


SC3_6	981095


SC3_61	3650678


SC3_62	1068845


SC3_63	1654731


SC3_64	680932


SC3_66	1003563


SC3_68	1555737


SC3_72	1071469


SC3_79	2228192


SC3_8_	4656756


SC3_81	677280


SC3_82	1482817


SC3_84	396390


SC3_87	3714461


SC3_88	1796101


SC3_9	1039105


SC3_90	1242787


SC3_92	2358624


SC3_94	2098140


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	


	
