1_Tps_b3v08 
Abiotrophia defectiva
Acetobacter pomorum
Acetobacterium sp.
Acidipropionibacterium virtanenii
Actinobacteria bacterium
Adlercreutzia sp.
Aerococcus sanguinicola
Aerococcus urinae
Agrobacterium sp.
Alcanivorax pacificus
Alicyclobacillus cycloheptanicus
Alicyclobacillus ferrooxydans
Alicyclobacillus sacchari
Alicyclobacillus tolerans
Alicyclobacillus vulcanalis
Alkalihalobacillus krulwichiae
Alkaliphilus sp.
Aminipila terrae
Aminobacter aminovorans
Anabaena sp.
Anaerobacillus isosaccharinicus
Anaerobiospirillum succiniciproducens
Anaerococcus sp.
Anaerolineae bacterium
Aneurinibacillus sp.
Aquamyces sp.
Aquitalea aquatilis
Aquitalea denitrificans
Aquitalea magnusonii
Aquitalea sp.
Arabia massiliensis
Arthrobacter woluwensis
Atorella sibogae
Bacillus haikouensis
Bacterium enrichment
Bacterium symbiont
Bacteroidaceae bacterium
Basilea psittacipulmonis
Bdellovibrio bacteriovorus
Bernardetia litoralis
Bifidobacterium subtile
Biomaibacter acetigenes
Bordetella holmesii
Bordetella pertussis
Botrimarina mediterranea
Botryococcus braunii
Brachybacterium phenoliresistens
Bremia graminicola
Brevibacillus sp.
Brevundimonas alba
Brevundimonas albigilva
Brevundimonas lenta
Bulboplastis apyrenoidosa
Burkholderia gladioli
Burkholderiales bacterium
Butyrivibrio fibrisolvens
Bythopirellula goksoyri
Calycomorphotria hydatis
Candidatus Accumulibacter
Candidatus Chloracidobacterium
Candidatus Competibacter
Candidatus Syngnamydia
Candidatus Vallotia
Carcina quercana
Carnobacterium inhibens
Carnobacterium viridans
Caulobacter henricii
Caulobacter rhizosphaerae
Cellulosilyticum lentocellum
Cellulosilyticum sp.
Centroceras clavulatum
Chamaesiphon minutus
Chlamydiales symbiont
Chromobacterium paludis
Chryseolinea soli
Chrysochromulina parva
Chrysochromulina sp.
Clostridium aceticum
Clostridium diolis
Clostridium gasigenes
Clostridium isatidis
Clostridium lentocellum
Clostridium propionicum
Clostridium ramosum
Clostridium spiroforme
Cohnella cholangitidis
Collinsella stercoris
Comamonadaceae bacterium
Complete Metagenome-Assembled
Coprobacter secundus
Coriobacteriaceae bacterium
Craniophora ligustri
Crassaminicella profunda
Crouania attenuata
Cruoricaptor ignavus
Cryomorphaceae bacterium
Cutibacterium avidum
Dechloromonas aromatica
Desulfatibacillum aliphaticivorans
Desulfatibacillum alkenivorans
Desulfoglaeba alkanexedens
Desulfomicrobium orale
Desulfonema magnum
Desulfovibrio fairfieldensis
Desulfovibrio marinus
Devosia elaeis
Dialister pneumosintes
Dolichospermum compactum
Dolichospermum flos-aquae
Eggerthella guodeyinii
Eggerthella sp.
Eggerthellaceae bacterium
Endosymbiont of
Entomoplasma freundtii
Entomoplasma somnilux
Erythrotrichia foliiformis
Estrella lausannensis
Eubacterium callanderi
Eubacterium cylindroides
Eubacterium maltosivorans
Eubacterium minutum
Exiguobacterium alkaliphilum
Exiguobacterium mexicanum
Flavobacterium sangjuense
Flexibacter litoralis
Frigidibacter mobilis
Gelidium elegans
Geobacter anodireducens
Geobacter bemidjiensis
Geosporobacter ferrireducens
Geothrix fermentans
Gigaspora margarita
Gordonibacter urolithinfaciens
Granulicatella elegans
Guillardia theta
Hathewaya histolytica
Helicobacter aurati
Helminthocladia australis
Helminthora furcellata
Hommersandiophycus borowitzkae
Hymenobacter baengnokdamensis
Izziella formosana
Kappamyces laurelensis
Kitasatospora sp.
Kocuria indica
Kocuria varians
Kroppenstedtia eburnea
Kuetzingia canaliculata
L.mesenteroides rrn
