"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"CDS:b4602:ynhF:stress_response_membrane:cds1647:-:89:NC_000913.3"	-5.44313637616609	7.87198288729666	49.4763568019738	2.00776898814586e-12	5.3667849864344e-09
"ncRNA:oxyS:rna153:-:109:NC_000913.3"	-6.00980442802607	7.02291710350416	48.4170251082536	3.44563740994565e-12	5.3667849864344e-09
"ncRNA:ryfD:rna87:-:142:NC_000913.3"	-5.16885120061821	12.2626070762759	48.3186278505761	3.62294216005922e-12	5.3667849864344e-09
"ncRNA:sroH:rna162:-:160:NC_000913.3"	-4.317177797883	8.93599669675958	33.2857231425889	7.95646286479798e-09	8.48471515594665e-06
"CDS:b1906:yecH:DUF2492_family_protein:cds1898:-:239:NC_000913.3"	-3.88657274623725	7.5099445224378	32.9315258564817	9.54625917635762e-09	8.48471515594665e-06
"CDS:b1251:yciI:putative_DGPF_domain-containing_enzyme:cds1231:-:296:NC_000913.3"	-3.78983392391051	8.68678092521947	30.9924849287231	2.59029444958634e-08	1.91854475566028e-05
"ncRNA:ryeA:rna54:+:248:NC_000913.3"	-3.55244707463532	8.26314526620954	29.3731572099264	5.96988489758897e-08	3.39788995491332e-05
"CDS:b0836:bssR:repressor_of_biofilm_formation_by_indole_transport_regulation:cds817:+:383:NC_000913.3"	-4.2112215594915	8.89926286641711	29.326040890335	6.11681360020399e-08	3.39788995491332e-05
"ncRNA:sibD:rna109:-:142:NC_000913.3"	-3.92212339467177	8.53265617872279	28.4337792460105	9.69587233616394e-08	3.72201418252401e-05
"CDS:b1677:lpp:murein_lipoprotein:cds1665:+:236:NC_000913.3"	-3.91762066334735	15.2084396502937	28.3703524688599	1.00187939063534e-07	3.72201418252401e-05
"CDS:b0699:ybfA:DUF2517_family_protein:cds687:+:206:NC_000913.3"	-3.82242148763641	8.35020972156544	28.2146694770523	1.08578530861013e-07	3.72201418252401e-05
"CDS:b3029:ygiN:quinol_monooxygenase:cds2978:+:314:NC_000913.3"	-3.52768146883605	9.21366892864224	28.0392114421852	1.18882018496154e-07	3.72201418252401e-05
"CDS:b2082:ogrK:positive_regulator_of_P2_growth_28insertion_of_P2_ogr_gene_into_the_chromosome29:cds2068:-:218:NC_000913.3"	-4.83882988723626	5.90274352053242	28.0221927336083	1.19932120453629e-07	3.72201418252401e-05
"CDS:b3766:ilvL:ilvG_operon_leader_peptide:cds3707:+:98:NC_000913.3"	-3.9284888725919	8.45673369791345	27.9822344532394	1.22434337727874e-07	3.72201418252401e-05
"CDS:b2617:bamE:lipoprotein_component_of_BamABCDE_OM_biogenesis_complex:cds2594:+:341:NC_000913.3"	-3.51929729370667	9.26546097158	27.9323677399242	1.25630541714357e-07	3.72201418252401e-05
"CDS:b0001:thrL:thr_operon_leader_peptide:cds0:+:65:NC_000913.3"	-3.37376645536312	7.66076094516587	27.6886071725563	1.42499479612716e-07	3.82670235929096e-05
"ncRNA:glmY:rna81:-:183:NC_000913.3"	-3.55924548071337	8.99017809131132	27.6365551451996	1.46386003843264e-07	3.82670235929096e-05
"ncRNA:glmZ:rna144:+:206:NC_000913.3"	-3.75622307821707	11.2648839495156	27.5196020984566	1.55510366266137e-07	3.83937815381507e-05
"CDS:b4606:ypfM:stress-induced_small_enterobacterial_protein:cds2450:-:59:NC_000913.3"	-3.71518129508223	9.675177314557	26.8543560647412	2.19379312810298e-07	4.8508677713874e-05
"CDS:b1332:ynaJ:DUF2534_family_putative_inner_membrane_protein:cds1318:+:257:NC_000913.3"	-3.96582115103265	7.75829559660128	26.8088851739351	2.24602285775943e-07	4.8508677713874e-05
"ncRNA:spf:rna151:+:108:NC_000913.3"	-3.80165753647719	9.50530044471588	26.7256380879507	2.34489500075618e-07	4.8508677713874e-05
"ncRNA:gcvB:rna99:+:205:NC_000913.3"	-4.31375843637003	14.6337522440283	26.6796128338995	2.40141968880564e-07	4.8508677713874e-05
"CDS:b1824:yobF:DUF2527_family_heat-induced_protein:cds1814:-:143:NC_000913.3"	-3.48541561281533	11.4607609143794	26.3212434246768	2.89091309942489e-07	5.38660104500089e-05
"CDS:b2597:raiA:cold_shock_protein_associated_with_30S_ribosomal_subunit:cds2575:+:341:NC_000913.3"	-3.66060143372143	14.8724159220366	26.3091608317787	2.90905546984747e-07	5.38660104500089e-05
"ncRNA:ssrS:rna106:+:182:NC_000913.3"	-4.27699453023858	16.9366468335397	26.0912419165302	3.25657833707141e-07	5.78889365197813e-05
"ncRNA:sibA:rna67:+:142:NC_000913.3"	-3.41684930006903	7.28075035840764	25.4660359836152	4.50239655860079e-07	7.69563473323919e-05
"CDS:b4128:yjdK:uncharacterized_protein:cds4045:+:296:NC_000913.3"	-3.99001654139422	6.13675952809686	25.3694742364939	4.73349493138755e-07	7.79098202780973e-05
"CDS:b0791:ybhQ:inner_membrane_protein:cds772:+:410:NC_000913.3"	-3.42839574325785	8.17527375362882	25.0357473089438	5.62772079704698e-07	8.93199686502742e-05
"CDS:b4705:mntS:Mn28229-response_protein2C_MntR-repressed:cds797:-:128:NC_000913.3"	-3.24256527814739	8.44870561266708	24.7797638316526	6.42686643278576e-07	9.84861876803445e-05
"CDS:b4595:yciY:uncharacterized_protein:cds1229:+:173:NC_000913.3"	-3.42878163664898	7.95095547523743	24.630090868619	6.94586344908838e-07	0.000102891390559163
"CDS:b1952:dsrB:uncharacterized_protein:cds1939:-:188:NC_000913.3"	-3.55006023136615	7.40104365659134	24.5445645557054	7.26108777319303e-07	0.00010409120665829
"ncRNA:mgrR:rna48:-:97:NC_000913.3"	-4.11660212013451	10.8150401801023	24.3570991517709	8.00312633623979e-07	0.00011114341699453
"CDS:b0762:acrZ:AcrAB-TolC_efflux_pump_accessory_protein2C_membrane-associated:cds743:+:149:NC_000913.3"	-3.1650001798233	8.09806410206648	24.2232721708479	8.57893690487169e-07	0.000113068679176457
"CDS:b3672:ivbL:ilvB_operon_leader_peptide:cds3619:-:98:NC_000913.3"	-3.16090121362927	8.68921647041564	24.2072463319644	8.65061901890087e-07	0.000113068679176457
"ncRNA:fnrS:rna44:+:121:NC_000913.3"	-4.21578678271376	12.6700408859231	23.6574159673155	1.15101493014887e-06	0.000146146009988045
"CDS:b4686:yshB:uncharacterized_protein:cds3795:-:110:NC_000913.3"	-3.15696914664694	7.03600590330439	22.9933053031309	1.62566529359155e-06	0.000200679349020023
"CDS:b1654:grxD:glutaredoxin-4:cds1643:-:347:NC_000913.3"	-3.0659381341253	8.66026741878391	22.7099761134324	1.8838728326069e-06	0.000226268401840678
"CDS:b3928:zapB:FtsZ_stabilizer3B_septal_ring_assembly_factor2C_stimulates_cell_division:cds3855:+:245:NC_000913.3"	-3.13596207208216	10.6788690894533	22.4431121071637	2.16460335193981e-06	0.00025314466568475
"CDS:b0240:crl:fermentation-respiration_switch_protein3B_PTS_Enzyme_IIA28Glc29-binding_protein3B_pNP-butyrate_esterase_activity:cds230:+:70:NC_000913.3"	-3.25659169891111	7.75630018863763	22.3383925848098	2.28590525578316e-06	0.000259917949349282
"ncRNA:cyaR:rna69:+:86:NC_000913.3"	-4.7379201070871	5.93452834267486	22.2881908347864	2.34645186988872e-06	0.000259917949349282
"CDS:b1461:pptA:4-oxalocrotonate_tautomerase:cds1448:+:233:NC_000913.3"	-4.08208838241209	5.65752329791456	22.246477561531	2.39798288103523e-06	0.000259917949349282
"CDS:b3049:glgS:motility_and_biofilm_regulator:cds2997:-:200:NC_000913.3"	-3.18213627916373	9.00841900874693	22.1022058875388	2.58512514016203e-06	0.000273530860068573
"CDS:b1273:yciN:DUF2498_protein_YciN:cds1253:-:251:NC_000913.3"	-3.03072587523386	8.53486546136975	21.918537291911	2.84472665976797e-06	0.000293999192465322
"CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3"	-3.1848525099653	10.9214560999643	21.8739708660695	2.91156592411842e-06	0.00029406815833596
"CDS:b1205:ychH:DUF2583_family_putative_inner_membrane_protein:cds1185:+:278:NC_000913.3"	-3.0392111502496	9.73186012846543	21.5478867093229	3.45102755042847e-06	0.000340808142980092
"CDS:b3638:yicR:UPF0758_family_protein:cds3584:-:668:NC_000913.3"	-3.05593572262488	6.91851695616251	21.3431800794044	3.83984308715987e-06	0.000370962232159531
"CDS:b1426:ydcH:DUF465_family_protein:cds1412:+:224:NC_000913.3"	-3.35537530548069	9.41382773272619	21.0442247330187	4.48803567195277e-06	0.000420890400811619
"CDS:b2833:ygdR:DUF903_family_verified_lipoprotein:cds2792:+:218:NC_000913.3"	-2.89774786388014	7.38870391825214	21.0196074088986	4.54607093585907e-06	0.000420890400811619
"CDS:b3858:yihD:DUF1040_protein_YihD:cds3786:+:269:NC_000913.3"	-2.8456677813601	7.44804631565817	20.8874618799371	4.87072342064037e-06	0.000441744793496445
"CDS:b1983:yeeN:UPF0082_family_protein:cds1964:+:716:NC_000913.3"	-3.0463083398548	8.65127443497747	20.7155906058961	5.32804229996283e-06	0.000473556399620696
"CDS:b2175:mepS:murein_DD-endopeptidase2C_space-maker_hydrolase2C_mutational_suppressor_of_prc_thermosensitivity2C_outer_membrane_lipoprotein:cds2160:+:566:NC_000913.3"	-3.00610054531633	10.5103012447926	20.5220610821029	5.89479191890265e-06	0.000513655986031439
"ncRNA:ffs:rna13:+:113:NC_000913.3"	-3.16922411644233	15.3665880888941	20.4166930892868	6.22841277572381e-06	0.000532289737986858
"CDS:b1237:hns:global_DNA-binding_transcriptional_dual_regulator_H-NS:cds1217:-:413:NC_000913.3"	-3.01673461310506	12.1187724099039	20.3540033653818	6.43583003131992e-06	0.00053963827658841
"CDS:b1792:yeaO:DUF488_family_protein:cds1780:+:347:NC_000913.3"	-3.4956598293427	6.11294988373245	20.1875585343361	7.02080810038185e-06	0.000577786503668461
"CDS:b3291:mscL:mechanosensitive_channel_protein2C_high_conductance:cds3227:+:410:NC_000913.3"	-2.81129692677069	8.05404509764407	20.0892531074743	7.39108288396549e-06	0.000597199497024412
"CDS:b1895:uspC:universal_stress_protein:cds1887:+:428:NC_000913.3"	-2.86301135372636	7.14620980806489	19.960121378624	7.90742566119851e-06	0.000627510707827968
"CDS:b4252:tabA:biofilm_modulator_regulated_by_toxins3B_DUF386_family_protein2C_cupin_superfamily:cds4167:+:452:NC_000913.3"	-4.36399308184209	9.20770103825587	19.8632087907032	8.31859470357621e-06	0.000648558506363029
"CDS:b4409:blr:beta-lactam_resistance_membrane_protein3B_divisome-associated_protein:cds1613:+:125:NC_000913.3"	-3.08959887430759	6.25898366710912	19.8058243330839	8.57210727643468e-06	0.000656800771318547
"CDS:b3764:yifE:UPF0438_family_protein:cds3705:+:338:NC_000913.3"	-3.05000551951766	9.38916448073857	19.5910304431975	9.59184515140274e-06	0.00072247728564125
"CDS:b0728:sucC:succinyl-CoA_synthetase2C_beta_subunit:cds715:+:1166:NC_000913.3"	2.98128143841155	9.72121007182121	19.3218302335632	1.10436484933747e-05	0.000810853822344839
"CDS:b1143:ymfI:e14_prophage3B_uncharacterized_protein:cds1119:+:341:NC_000913.3"	-3.97536077043692	5.9450930653973	19.3069443054008	1.11300817198549e-05	0.000810853822344839
